clientId,company,category,city,state,contactTitle,website,pitchAngle,source,seedFile
,FCL Builders,,Itasca,IL,Finishes Coordinator,fclbuilders.com,Industrial and commercial design-build GC; DI-NOC and Rea Tec in value-engineering for Chicago suburban commercial renovation.,,seed-designers
,FitzGerald Associates Architects,,Chicago,IL,Interior Design Lead,fitzgeraldassoc.com,Multifamily and mixed-use specialist; DI-NOC accent surfaces in Chicago apartment and condo renovation projects.,,seed-designers
,FRCH Nelson,,Cincinnati,OH,Interior Design Director,frch.com,"Retail, hospitality, and entertainment design firm; DI-NOC surface films are standard in their store and restaurant fit-out packages.",,seed-designers
,GBBN Architects,,Cincinnati,OH,Interior Design Lead,gbbn.com,Education and healthcare specialist; DI-NOC antimicrobial films are directly relevant to their healthcare clients' infection-control specs. Lead with compliance benefits.,,seed-designers
,GBBN Louisville,,Louisville,KY,Senior Interior Designer,gbbn.com,Healthcare and education practice; DI-NOC antimicrobial films are directly applicable to their Louisville hospital and school projects.,,seed-designers
,Gensler Chicago,,Chicago,IL,Interior Design Director,gensler.com,Global design firm's Chicago office — DI-NOC branding films and environmental graphics are standard Gensler deliverables. Getting on their preferred vendor list = massive pipeline.,,seed-designers
,Gensler Columbus,,Columbus,OH,Interior Design Lead,gensler.com,Workplace and mixed-use projects; DI-NOC branding films and environmental graphics standard in Columbus office fit-outs. Get on preferred vendor list.,,seed-designers
,Gensler Indianapolis,,Indianapolis,IN,Interior Design Lead,gensler.com,Global firm with Indianapolis workplace projects — DI-NOC branding films and environmental graphics are standard Gensler deliverables. Get on their preferred vendor list.,,seed-designers
,Ghafari Associates,,Dearborn,MI,Interior Design Principal,ghafari.com,"Automotive, industrial, and commercial architecture; DI-NOC and Rea Tec for manufacturing facility and corporate campus interior upgrades.",,seed-designers
,Glaserworks,,Cincinnati,OH,Principal,glaserworks.com,Boutique architecture and interiors with adaptive reuse focus; DI-NOC wood/stone films for historic building interior upgrades.,,seed-designers
,GMB Architecture + Engineering,,Holland,MI,Interior Design Lead,gmb.com,"West Michigan full-service firm; manufacturing, education, and civic clients with ongoing interior renovation programs.",,seed-designers
,Granger Construction,,Lansing,MI,Interior Finishes Lead,grangerconstruction.com,Design-build GC with public sector focus; DI-NOC and Rea Tec in pre-construction value-engineering for Michigan government projects.,,seed-designers
,HAFER,,Evansville,IN,Interior Design Lead,haferarch.com,Full-service architecture and engineering; southwest Indiana healthcare and civic projects use DI-NOC for surface upgrades without full renovation disruption.,,seed-designers
,Harley Ellis Devereaux,,Detroit,MI,Interior Design Principal,hed.design,Healthcare and education specialist; DI-NOC antimicrobial and textured films are directly applicable to their clinical and academic interior projects.,,seed-designers
,HED Chicago,,Chicago,IL,Interior Design Lead,hed.design,Healthcare and higher-ed practice; DI-NOC surface films specified in hospital renovation and university campus projects.,,seed-designers
,Hobbs + Black,,Ann Arbor,MI,Principal / Interior Design,hobbsandblack.com,University and civic architecture; University of Michigan–adjacent practice with ongoing campus renovation projects where DI-NOC is specified.,,seed-designers
,IA Interior Architects Chicago,,Chicago,IL,Principal Interior Designer,interiorarchitects.com,Corporate workplace interiors; DI-NOC branding films and environmental graphics standard in Fortune 500 Chicago office fit-outs.,,seed-designers
,IA Interior Architects Cincinnati,,Cincinnati,OH,Principal Interior Designer,interiorarchitects.com,Corporate workplace interiors; DI-NOC branding films and environmental graphics are deliverables for Fortune 500 Cincinnati office clients.,,seed-designers
,IKM Architecture,,Pittsburgh,PA,Interior Design Principal,ikmarch.com,Healthcare and education specialist with Midwest reach; DI-NOC antimicrobial films for hospital and school renovation projects.,,seed-designers
,INFORM Studio,,Northville,MI,Director of Interior Design,in-formstudio.com,"Mixed-use, retail, hospitality, learning environments — multidisciplinary WBE firm specifies finishes across large public-realm projects.",,seed-designers
,Integrated Architecture,,Grand Rapids,MI,Interior Design Director,intarch.com,Education and corporate interiors practice; DI-NOC and wall graphics for school and office renovation projects across West Michigan.,,seed-designers
,Interior Investments,,Chicago,IL,Director of Interior Design,interiorinvestments.com,Large commercial furniture and interiors firm; DI-NOC films complement their workplace design and office installation services.,,seed-designers
,Interphase Interiors,,Columbus,OH,Director of Interior Design,,Corporate furniture and interiors dealer; DI-NOC film upgrades complement their workplace design and installation services.,,seed-designers
,JRA Architects Louisville,,Louisville,KY,Principal,,Commercial and government practice in Louisville; DI-NOC surface films in municipal and commercial interior renovation projects.,,seed-designers
,Kingscott Associates,,Kalamazoo,MI,Interior Design Principal,kingscott.com,Municipal and civic architecture in Southwest Michigan; government facility interiors where DI-NOC surface films reduce renovation scope.,,seed-designers
,Kluber Architects + Engineers,,Batavia,IL,Interior Design Lead,kluber.com,Education and municipal practice in Fox Valley suburbs; school and civic facility renovation with wall graphics and surface films.,,seed-designers
,KZF Design,,Louisville,KY,Interior Design Director,kzfdesign.com,Full-service engineering and architecture; commercial and government renovation where DI-NOC is value-engineered into interior packages.,,seed-designers
,Lamar Johnson Collaborative,,Chicago,IL,Senior Interior Designer,lamarjohnson.com,Multifamily and affordable housing practice; DI-NOC films as cost-effective premium finish in apartment community common areas.,,seed-designers
,Lothan Van Hook DeStefano Architecture,,Chicago,IL,Interior Design Director,lvda.com,Senior living and multifamily specialist; DI-NOC wood and fabric films for assisted living and memory care interior renovations.,,seed-designers
,Luckett & Farley,,Louisville,KY,Interior Design Director,luckettfarley.com,"Established Louisville firm with commercial, healthcare, and government practice; DI-NOC surface films for interior renovation projects.",,seed-designers
,Luxe Interiors + Design Chicago,,Chicago,IL,Principal Designer,,"High-end residential and hospitality interiors; DI-NOC premium films (metallic, leather, wood) for luxury renovation clients.",,seed-designers
,M+A Architects,,Columbus,OH,Interior Design Lead,maarchitects.com,Commercial and multifamily practice; DI-NOC accent surfaces in apartment lobbies and amenity spaces.,,seed-designers
,MCM CPG Architects,,Louisville,KY,Interior Design Lead,mcm.com,National commercial and multifamily firm with Louisville base; DI-NOC accent films in apartment community and hospitality renovations.,,seed-designers
,Messer Construction,,Cincinnati,OH,Interior Finishes Coordinator,messer.com,Design-build GC with strong healthcare and higher-ed practice; DI-NOC value-engineering in renovation bid packages.,,seed-designers
,Moody Nolan,,Columbus,OH,Interior Design Principal,moodynolan.com,"Award-winning firm with civic, education, and sports facility practice — environmental graphics and Rea Tec films for public-facing interiors.",,seed-designers
,Moore + Bruggink,,Grand Rapids,MI,Principal,moorebruggink.com,Commercial and educational practice in West Michigan; DI-NOC films for school and office interior finish upgrades.,,seed-designers
,Mortar,,Indianapolis,IN,Creative Director,mortar.com,"Brand experience agency — environmental graphics, wall wraps, and dimensional signage are core deliverables. Position as their fabrication + install partner.",,seed-designers
,MSA Design,,Indianapolis,IN,Senior Interior Designer,msadesign.com,"Multidisciplinary firm with strong hospitality and retail practice — wall graphics, DI-NOC wood panels, and branded environments. Multiple project types = repeat spec.",,seed-designers
,MSA Design Cincinnati,,Cincinnati,OH,Senior Interior Designer,msadesign.com,Hospitality and retail design; DI-NOC metallic and wood films deliver high-impact aesthetics in restaurant and retail renovations.,,seed-designers
,NBBJ Indianapolis,,Indianapolis,IN,Interior Design Lead,nbbj.com,Global firm with strong Indianapolis healthcare and campus practice — DI-NOC and Rea Tec are standard finish palette items. One preferred vendor relationship = multiple projects.,,seed-designers
,Neumann/Smith Architecture,,Southfield,MI,Interior Design Director,neumannsmith.com,Detroit-area commercial and mixed-use firm; DI-NOC wood and stone films as millwork alternatives in office and retail renovation.,,seed-designers
,OKW Architects,,Chicago,IL,Interior Design Lead,okwarchitects.com,Hospitality and multifamily specialist; DI-NOC accent surfaces in hotel lobbies and apartment amenity spaces.,,seed-designers
,Pepper Construction Indiana,,Indianapolis,IN,Interior Finishes Lead,pepperconstruction.com,Design-build GC with interiors practice; DI-NOC and Rea Tec reduce millwork costs without sacrificing finish quality. Pitch the ROI.,,seed-designers
,Perkins + Will Chicago,,Chicago,IL,Interior Design Principal,perkinswill.com,"Healthcare, workplace, and higher-ed firm; DI-NOC and surface films are part of their standard interior material palette.",,seed-designers
,Perkins + Will Indianapolis,,Indianapolis,IN,Interior Design Principal,perkinswill.com,Healthcare and higher-ed focus; DI-NOC antimicrobial and wood films are regularly specified in their project interiors. Healthcare clients = premium budget.,,seed-designers
,Perspectus Architecture,,Cleveland,OH,Principal / Interior Design,perspectusarchitecture.com,Adaptive reuse and historic renovation specialist; DI-NOC wood and stone films are go-to for code-compliant surface upgrades in landmark buildings.,,seed-designers
,pH Design Studio,,Indianapolis,IN,Principal,,Boutique commercial interiors; high-end hospitality and restaurant clients in Indy where DI-NOC metallic and wood films elevate budgets.,,seed-designers
,Power Construction,,Chicago,IL,Interior Finishes Coordinator,powerconstruction.net,Large Chicago GC with healthcare and commercial practice; DI-NOC value-engineering in pre-construction for hospital and office renovation.,,seed-designers
,Progressive AE,,Grand Rapids,MI,Senior Interior Designer,progressiveae.com,"Full-service firm with healthcare, education, and industrial practice — West Michigan clients with ongoing interior renovation programs.",,seed-designers
,Quinn Evans,,Ann Arbor,MI,Interior Design Lead,quinnevans.com,Historic preservation specialist; DI-NOC wood and stone films are the go-to tool for code-compliant surface refinishing in historic structures.,,seed-designers
,Ratio Architects,,Indianapolis,IN,"Principal, Business Development",ratioarchitects.com,Constant adaptive-reuse and historic-preservation work where DI-NOC wood/stone films enable code-compliant refinishing of existing surfaces — saves cost over full replacement.,,seed-designers
,Rossetti,,Detroit,MI,Interior Design Lead,rossetti.com,"Sports, entertainment, and hospitality design; environmental graphics and DI-NOC films are standard in arena and stadium renovation packages.",,seed-designers
,RQAW Corporation,,Indianapolis,IN,Director of Interior Design,rqaw.com,"Municipal, justice, and public safety facilities — DI-NOC wayfinding films and wall graphics are standard across their project types. Government procurement = repeat business.",,seed-designers
,Rundell Ernstberger Associates,,Indianapolis,IN,Principal / Project Lead,rea-inc.com,Landscape architecture + planning firm with public space focus; environmental graphics and wayfinding wraps on public infrastructure.,,seed-designers
,Schmidt Associates,,Indianapolis,IN,Interior Design Lead,schmidtassociates.com,Healthcare + education focus; DI-NOC antimicrobial films and Rea Tec surface films are directly applicable to their core market verticals. Pitch infection-control compliance.,,seed-designers
,Schooley Caldwell,,Columbus,OH,Interior Design Lead,schooleycaldwell.com,Public sector architecture with civic and judicial facility practice; DI-NOC for durable government building interior surfaces.,,seed-designers
,Shiel Sexton,,Indianapolis,IN,Interior Finishes Coordinator,shielsexton.com,Large Indiana GC with in-house design; Rea Tec and DI-NOC films are value-engineering alternatives when owner budgets are squeezed on TI projects.,,seed-designers
,SHP Leading Design,,Cincinnati,OH,Interior Design Lead,shp.com,K-12 and higher-ed specialist; DI-NOC and wall graphics are frequent scope items in their school renovation projects. High project cadence.,,seed-designers
,SmithGroup,,Detroit,MI,Interior Design Director,smithgroup.com,"Large multidisciplinary firm with healthcare, science, and workplace practice — DI-NOC and Rea Tec surface films are standard in their interior specifications.",,seed-designers
,Solomon Cordwell Buenz,,Chicago,IL,Interior Design Lead,scb.com,Mixed-use and multifamily high-rise specialist; DI-NOC accent films in Chicago condo and apartment lobby renovations.,,seed-designers
,Stantec Kentucky,,Louisville,KY,Interior Design Lead,stantec.com,Infrastructure-led firm; government and transit facility interiors where DI-NOC surface films reduce renovation disruption.,,seed-designers
,Stantec Michigan,,Detroit,MI,Interior Design Lead,stantec.com,Infrastructure-led firm; transit and public facility interiors where DI-NOC is specified for durable surface upgrades.,,seed-designers
,STL Architects,,Chicago,IL,Principal Designer,,Boutique commercial and hospitality design; DI-NOC metallic and wood films for Chicago restaurant and hotel renovation clients.,,seed-designers
,STL Architects Chicago,,Chicago,IL,Creative Director,,Boutique commercial and hospitality design; DI-NOC metallic and wood films for Chicago restaurant and hotel renovation clients with premium budgets.,,seed-designers
,Storey & Associates Interior Design,,Cincinnati,OH,Principal Interior Designer,,IIDA Cincinnati member; commercial and corporate interiors — DI-NOC branding films for workplace environments.,,seed-designers
,Stout + Perry Interior Design,,Indianapolis,IN,Principal,,Boutique hospitality and residential interiors; Rea Tec surface films for premium renovation where budget meets luxury expectation.,,seed-designers
,STUDIO V Design,,Detroit,MI,Principal Interior Designer,,Detroit boutique commercial interiors; DI-NOC wood and stone films for the automotive city's corporate office renovation market.,,seed-designers
,Synthesis Inc.,,Indianapolis,IN,Interior Design Director,synthesisarch.com,Corporate interiors and TI specialist — DI-NOC is a frequent value-engineering substitute for millwork in Class A offices. Pitch cost savings + install speed.,,seed-designers
,ThenDesign Architecture,,Willoughby,OH,Principal / Interior Design Lead,tda.design,K-12 education specialist in Northeast Ohio; school renovation projects are consistent pipeline for DI-NOC wall graphics and surface films.,,seed-designers
,TK Architects,,Overland Park,KS,Interior Design Lead,tkarchitects.com,Cinema and entertainment design specialist; DI-NOC metallic and fabric films for theater lobby and auditorium renovation.,,seed-designers
,TMP Architecture,,Bloomfield Hills,MI,Interior Design Lead,tmparchitects.com,,,seed-designers
,TowerPinkster,,Kalamazoo,MI,Interior Design Lead,towerpinkster.com,Full-service firm with healthcare and education focus; DI-NOC antimicrobial films for hospital and school renovation across Southwest Michigan.,,seed-designers
,Troyer Group,,Mishawaka,IN,Director of Interior Architecture,troyergroup.com,Northern Indiana firm; healthcare and education specialize in long-lifecycle finishes — DI-NOC is the ideal cost/durability balance for their clients.,,seed-designers
,Turner Construction Ohio,,Columbus,OH,Interior Finishes Lead,turnerconstruction.com,Major GC with in-house design; Rea Tec and DI-NOC in pre-construction value-engineering for large hospital and campus projects.,,seed-designers
,Victor Saroki & Associates,,Birmingham,MI,Principal Designer,,Boutique commercial and residential design; high-end DI-NOC metallic and wood films for Detroit-area luxury renovation projects.,,seed-designers
,VOA Associates,,Chicago,IL,Interior Design Director,voa.com,Healthcare and senior living specialist; DI-NOC antimicrobial films are directly applicable to their clinical and assisted-living interior projects.,,seed-designers
,Vocon,,Cleveland,OH,Interior Design Director,vocon.com,Workplace strategy and interiors firm; DI-NOC branding films and environmental graphics are core deliverables for corporate clients.,,seed-designers
,Walbridge,,Detroit,MI,Finishes Coordinator,walbridge.com,Large design-build GC with industrial and commercial practice; DI-NOC and Rea Tec films in pre-construction value-engineering packages.,,seed-designers
,Wight & Company,,Darien,IL,Interior Design Director,wightco.com,"Full-service firm with education, healthcare, and government practice in Chicago suburbs — DI-NOC specified in school and civic renovation.",,seed-designers
epa-1000355,(540) Civitas Resources - Denver Basin,commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1014558,(540) Civitas Resources - Gb - Denver Basin,commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004377,121 Regional Disposal Facility,commercial_solar,Melissa,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010040,15-18565/15-18662,commercial_solar,Hazard,KY,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 212115. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1010085,15-19015,commercial_solar,Hazard,KY,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 212112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001155,1500 South Tibbs Llc D/B/A Aurorium Indianapolis Llc,commercial_solar,Indianapolis,IN,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325199. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012147,17z Gas Plant - Chevron Usa Inc.,commercial_solar,Mckittrick,CA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013369,"1876 Resources, Llc - Denver Basin",commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009263,220 Gulf Coast,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012507,220 Gulf Coast Basin,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009238,220 Gulf Coast Basin Dec,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008121,230 Arkla Basin Dec,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009283,230 Arkla Basin Qep Energy Company,commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000112,23rd And 3rd,commercial_solar,Brooklyn,NY,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012156,260 - East Texas Basin Gathering/Boosting,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009117,260 East Texas Basin,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009170,260 East Texas Basin - Bp America Production Company,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006394,29-6 #2 Central Delivery Point,commercial_solar,Blanco,NM,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 213112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013701,30-30 Gas Plant,commercial_solar,Plains,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002885,30-5 Central Delivery Point Compressor Station,commercial_solar,Aztec,NM,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 213112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002707,31-6 Central Delivery Point,commercial_solar,Bloomfield,NM,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 213112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003742,31st Street Landfill,commercial_solar,Westchester,IL,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002718,32-7 Central Delivery Point,commercial_solar,Blanco,NM,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 213112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002721,32-8 #2 Cdp Compressor Station,commercial_solar,Blanco,NM,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 213112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009284,340 Arkoma Basin Qep Energy Company,commercial_solar,Tulsa,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012155,345 - Arkoma Basin Gathering/Boosting,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012472,345 Arkoma Basin,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009169,345 Arkoma Basin - Bp America Production Company,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008285,345 Arkoma Basin Dec,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011963,345 Arkoma Bravo Nr,commercial_solar,Tulsa,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009119,350 South Oklahoma Folded Belt,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012466,350 South Oklahoma Folded Belt,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009264,355 Chatauque Platform,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008286,355 Chautauqua Platform Dec,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009265,360 Anadarko Basin,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012522,360 Anadarko Basin,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008558,360 Anadarko Basin - Bp America Production Company,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008287,360 Anadarko Basin Dec,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009285,360 Anadarko Basin Qep Energy Company,commercial_solar,Tulsa,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013331,360 Anadarko Camino Production,commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012523,375 Sedgwick Basin,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012526,395 Williston Basin,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
